Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2017-09-07T19:56:00+00:00,,,52.543206,-1.868576,,10-17,Black/African/Caribbean/Black British - Caribbean,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,,False
Person search,2017-09-07T20:13:00+00:00,,,52.583170,-2.134925,,10-17,Other ethnic group - Not stated,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,False
Person search,2017-09-07T20:48:00+00:00,,,52.488594,-1.805015,,,White - Any other White background,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,False
Person and Vehicle search,2017-09-07T20:48:00+00:00,,,52.488594,-1.805015,,,Other ethnic group - Not stated,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,False
Person search,2017-09-07T22:40:00+00:00,,,52.442294,-1.820770,,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,False
Person search,2017-09-07T22:40:00+00:00,,,52.442294,-1.820770,,,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,False
Person and Vehicle search,2017-09-07T23:53:00+00:00,,,52.406692,-1.825809,,25-34,Mixed/Multiple ethnic groups - White and Asian,Asian,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,False
Person search,2017-09-07T23:53:00+00:00,,,52.406692,-1.825809,,25-34,Asian/Asian British - Pakistani,Asian,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,False
Person search,2017-09-07T23:53:00+00:00,,,52.406692,-1.825809,,25-34,Asian/Asian British - Pakistani,Asian,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,False
Person and Vehicle search,2017-09-08T00:10:00+00:00,,,52.552193,-1.844230,,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Suspect arrested,True,False
Person and Vehicle search,2017-09-08T00:23:00+00:00,,,52.552193,-1.844230,,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Suspect arrested,True,
Person and Vehicle search,2017-09-08T01:20:00+00:00,,,52.483282,-1.817010,,,Asian/Asian British - Pakistani,Asian,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Suspect summonsed to court,False,False
Person search,2017-09-08T01:20:00+00:00,,,52.483282,-1.817010,,,Mixed/Multiple ethnic groups - White and Black Caribbean,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Suspect arrested,False,False
Person search,2017-09-08T01:20:00+00:00,,,52.483282,-1.817010,,,Asian/Asian British - Pakistani,Asian,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,False
Person search,2017-09-08T01:20:00+00:00,,,52.483282,-1.817010,,,Asian/Asian British - Pakistani,Asian,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,False
Person search,2017-09-08T01:20:00+00:00,,,52.483282,-1.817010,,,Asian/Asian British - Pakistani,Asian,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,False
Person search,2017-09-08T01:25:00+00:00,,,52.474394,-1.914670,,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2017-09-08T09:05:00+00:00,,,52.489640,-1.806999,,25-34,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,True,
Person search,2017-09-08T09:35:00+00:00,,,52.470327,-1.937864,,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,False
Person search,2017-09-08T09:53:00+00:00,,,52.496628,-1.852571,,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,,False
Person search,2017-09-08T10:06:00+00:00,,,52.496628,-1.852571,,18-24,Black/African/Caribbean/Black British - Caribbean,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,,
Person search,2017-09-08T10:21:00+00:00,,,52.458169,-2.114453,,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given drugs possession warning,True,False
Person search,2017-09-08T11:33:00+00:00,,,52.585960,-2.123303,,25-34,Asian/Asian British - Indian,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2017-09-08T11:39:00+00:00,,,52.585960,-2.123303,,25-34,Asian/Asian British - Indian,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2017-09-08T11:47:00+00:00,,,52.473857,-1.906265,,18-24,White - Irish,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2017-09-08T11:51:00+00:00,,,52.584951,-2.125838,,over 34,White - Any other White background,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2017-09-08T11:53:00+00:00,,,52.474126,-1.905823,,,White - Irish,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2017-09-08T12:25:00+00:00,,,52.473857,-1.906265,,18-24,White - Irish,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2017-09-08T13:09:00+00:00,,,52.426828,-1.455436,,10-17,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,False
Person and Vehicle search,2017-09-08T13:19:00+00:00,,,52.477909,-1.807668,,over 34,White - Any other White background,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,False
Person search,2017-09-08T13:46:00+00:00,,,52.464818,-1.843036,,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2017-09-08T14:04:00+00:00,,,52.585056,-2.128141,,25-34,Asian/Asian British - Any other Asian background,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2017-09-08T15:16:00+00:00,,,52.430075,-1.949495,,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,False
Person search,2017-09-08T15:21:00+00:00,,,52.430075,-1.949495,,18-24,Asian/Asian British - Pakistani,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,False
Person and Vehicle search,2017-09-08T15:38:00+00:00,,,52.541660,-2.045606,,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,True,False
Person search,2017-09-08T18:03:00+00:00,,,52.477951,-1.899263,,10-17,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Article found - Detailed outcome unavailable,,
Person search,2017-09-08T18:03:00+00:00,,,52.477951,-1.899263,,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Article found - Detailed outcome unavailable,,
Person search,2017-09-08T18:26:00+00:00,,,52.592661,-2.110626,,10-17,Black/African/Caribbean/Black British - Caribbean,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,False
Person search,2017-09-08T18:30:00+00:00,,,52.592661,-2.110626,,18-24,Black/African/Caribbean/Black British - African,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,False
Person search,2017-09-08T19:06:00+00:00,,,52.410097,-1.510785,,,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Article found - Detailed outcome unavailable,,False
Person search,2017-09-08T19:06:00+00:00,,,52.410097,-1.510785,,,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Article found - Detailed outcome unavailable,,False
Person search,2017-09-08T20:48:00+00:00,,,52.480611,-1.898815,,18-24,White - Any other White background,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2017-09-08T20:48:00+00:00,,,52.480611,-1.898815,,18-24,Other ethnic group - Not stated,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Article found - Detailed outcome unavailable,,
Vehicle search,2017-09-08T21:00:00+00:00,,,52.556086,-2.106448,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2017-09-08T21:00:00+00:00,,,52.556086,-2.106448,,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given drugs possession warning,True,False
Person search,2017-09-08T21:00:00+00:00,,,52.555573,-2.107081,,18-24,Asian/Asian British - Indian,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2017-09-08T21:00:00+00:00,,,52.556086,-2.106448,,18-24,Asian/Asian British - Indian,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Offender given drugs possession warning,True,False
Person search,2017-09-08T21:40:00+00:00,,,52.474880,-1.903318,,,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,False
Person search,2017-09-08T21:41:00+00:00,,,52.474880,-1.903318,,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,False
Person search,2017-09-08T21:46:00+00:00,,,52.474681,-1.902494,,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,False
Person search,2017-09-08T21:53:00+00:00,,,52.557436,-1.826157,,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,True,
Person search,2017-09-08T21:58:00+00:00,,,52.557436,-1.826157,,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Suspect arrested,True,
Person search,2017-09-08T22:04:00+00:00,,,52.557436,-1.826157,,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Suspect arrested,True,
Person search,2017-09-08T22:16:00+00:00,,,52.491910,-1.861218,,25-34,Asian/Asian British - Pakistani,,Firearms Act 1968 (section 47),Firearms,Nothing found - no further action,,False
Person search,2017-09-08T22:17:00+00:00,,,52.491910,-1.861218,,over 34,Asian/Asian British - Pakistani,Asian,Firearms Act 1968 (section 47),Firearms,Nothing found - no further action,,False
Vehicle search,2017-09-08T22:24:00+00:00,,,52.491910,-1.861218,,,,,Firearms Act 1968 (section 47),Firearms,Nothing found - no further action,,
Person search,2017-09-08T23:43:00+00:00,,,52.586008,-2.129487,,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect summonsed to court,False,False
Person and Vehicle search,2017-09-09T00:16:00+00:00,,,52.484999,-2.109855,,10-17,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,False
Person search,2017-09-09T00:21:00+00:00,,,52.485003,-1.733420,,25-34,Asian/Asian British - Indian,Asian,Firearms Act 1968 (section 47),Firearms,Nothing found - no further action,,False
Person and Vehicle search,2017-09-09T00:31:00+00:00,,,52.547503,-1.839645,,18-24,Asian/Asian British - Indian,Asian,Firearms Act 1968 (section 47),Firearms,Nothing found - no further action,,False
Person search,2017-09-09T00:50:00+00:00,,,52.493462,-1.851021,,,Asian/Asian British - Bangladeshi,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Suspect arrested,True,False
Person search,2017-09-09T02:18:00+00:00,,,52.509506,-1.940475,,10-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,False
Person search,2017-09-09T02:23:00+00:00,,,52.509506,-1.940475,,10-17,Black/African/Caribbean/Black British - Caribbean,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,False
Person search,2017-09-09T02:30:00+00:00,,,52.466762,-1.745850,,10-17,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,False
Person search,2017-09-09T02:30:00+00:00,,,52.466762,-1.745850,,10-17,Mixed/Multiple ethnic groups - White and Black Caribbean,Other,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,False
Person search,2017-09-09T02:34:00+00:00,,,52.476514,-1.912590,,,Black/African/Caribbean/Black British - African,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2017-09-09T02:38:00+00:00,,,52.465249,-1.748744,,10-17,Black/African/Caribbean/Black British - African,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,False
Person search,2017-09-09T05:05:00+00:00,,,52.439471,-1.809336,,,Black/African/Caribbean/Black British - Caribbean,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Suspect arrested,True,False
Person search,2017-09-09T05:06:00+00:00,,,52.475316,-1.898415,,25-34,Mixed/Multiple ethnic groups - White and Black African,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,False
Person search,2017-09-09T05:15:00+00:00,,,52.475316,-1.898415,,,Asian/Asian British - Any other Asian background,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,False
Person search,2017-09-09T05:44:00+00:00,,,52.392617,-1.514358,,,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,False
Person and Vehicle search,2017-09-09T06:23:00+00:00,,,52.458637,-1.895539,,,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Asian,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Suspect arrested,True,False
Person search,2017-09-09T07:33:00+00:00,,,52.475494,-1.896280,,25-34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,,False
Person search,2017-09-09T07:49:00+00:00,,,52.475494,-1.896280,,,Other ethnic group - Not stated,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,,False
Person search,2017-09-09T12:17:00+00:00,,,52.512730,-1.986606,,25-34,White - Any other White background,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Article found - Detailed outcome unavailable,False,False
Person search,2017-09-09T12:17:00+00:00,,,52.512730,-1.986606,,25-34,White - Any other White background,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Article found - Detailed outcome unavailable,False,False
Person search,2017-09-09T12:47:00+00:00,,,52.479343,-1.898111,,,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,True,False
Person search,2017-09-09T14:47:00+00:00,,,52.530446,-1.874069,,,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2017-09-09T15:08:00+00:00,,,52.530446,-1.874069,,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect summonsed to court,False,False
Person search,2017-09-09T18:20:00+00:00,,,52.420894,-1.776331,,,Other ethnic group - Not stated,Other,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,False
Person search,2017-09-09T18:20:00+00:00,,,52.420894,-1.776331,,,Asian/Asian British - Pakistani,Other,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,False
Person search,2017-09-09T18:20:00+00:00,,,52.420894,-1.776331,,,Black/African/Caribbean/Black British - African,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,False
Person search,2017-09-09T18:22:00+00:00,,,52.419652,-1.775764,,,Black/African/Caribbean/Black British - Caribbean,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,False
Person search,2017-09-09T18:22:00+00:00,,,52.419652,-1.775764,,,Black/African/Caribbean/Black British - Caribbean,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,False
Person search,2017-09-09T21:20:00+00:00,,,52.488502,-1.839462,,18-24,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect summonsed to court,False,False
Person search,2017-09-09T21:55:00+00:00,,,52.429186,-1.809278,,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Suspect arrested,True,False
Person search,2017-09-09T23:01:00+00:00,,,52.590757,-2.134977,,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2017-09-09T23:03:00+00:00,,,52.592504,-2.140445,,over 34,Asian/Asian British - Indian,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2017-09-09T23:14:00+00:00,,,52.488556,-1.826723,,18-24,Asian/Asian British - Pakistani,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2017-09-09T23:32:00+00:00,,,52.468190,-1.857907,,,Asian/Asian British - Pakistani,Asian,Firearms Act 1968 (section 47),Firearms,Nothing found - no further action,,False
Person search,2017-09-10T00:02:00+00:00,,,52.397280,-1.984304,,25-34,White - Irish,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,,False
Person search,2017-09-10T00:05:00+00:00,,,52.397280,-1.984304,,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Nothing found - no further action,,False
Person search,2017-09-10T00:45:00+00:00,,,52.469332,-1.857697,,,Asian/Asian British - Any other Asian background,,Firearms Act 1968 (section 47),Firearms,Nothing found - no further action,,False
Person search,2017-09-10T01:03:00+00:00,,,52.475494,-1.896280,,25-34,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2017-09-10T01:32:00+00:00,,,52.475494,-1.896280,,,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person and Vehicle search,2017-09-10T01:35:00+00:00,,,52.546441,-1.852316,,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2017-09-10T01:35:00+00:00,,,52.546441,-1.852316,,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person and Vehicle search,2017-09-10T01:38:00+00:00,,,52.547127,-1.854821,,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2017-09-10T01:38:00+00:00,,,52.547127,-1.854821,,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2017-09-10T01:50:00+00:00,,,52.474394,-1.914670,,18-24,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2017-09-10T01:58:00+00:00,,,52.474394,-1.914670,,18-24,Asian/Asian British - Indian,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2017-09-10T07:20:00+00:00,,,52.584208,-2.093056,,,White - Any other White background,Other,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,False
Person search,2017-09-10T07:20:00+00:00,,,52.584208,-2.093056,,,White - Any other White background,Other,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,False
Person search,2017-09-10T07:38:00+00:00,,,52.478890,-1.781868,,25-34,Other ethnic group - Not stated,Other,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Suspect arrested,False,False
Person search,2017-09-10T07:54:00+00:00,,,52.601338,-2.126993,,25-34,White - Any other White background,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Suspect arrested,True,False
Person search,2017-09-10T07:54:00+00:00,,,52.594244,-2.127799,,over 34,White - Any other White background,,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Suspect arrested,True,False
Person search,2017-09-10T07:59:00+00:00,,,52.476433,-1.890594,,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,True
Person search,2017-09-10T07:59:00+00:00,,,52.476433,-1.890594,,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2017-09-10T07:59:00+00:00,,,52.476433,-1.890594,,25-34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2017-09-10T07:59:00+00:00,,,52.476433,-1.890594,,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2017-09-10T07:59:00+00:00,,,52.476433,-1.890594,,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2017-09-10T07:59:00+00:00,,,52.476433,-1.890594,,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2017-09-10T07:59:00+00:00,,,52.476433,-1.890594,,25-34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2017-09-10T08:54:00+00:00,,,52.476433,-1.890594,,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,True
Person search,2017-09-10T08:54:00+00:00,,,52.476433,-1.890594,,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,True
Person search,2017-09-10T08:58:00+00:00,,,52.476433,-1.890594,,18-24,Asian/Asian British - Any other Asian background,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,
Person search,2017-09-10T09:14:00+00:00,,,52.451732,-1.904899,,25-34,Other ethnic group - Not stated,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person and Vehicle search,2017-09-10T12:26:00+00:00,,,52.406881,-1.507175,,over 34,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,True,False
Person search,2017-09-10T14:46:00+00:00,,,52.486487,-2.123819,,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,False
Person search,2017-09-10T14:52:00+00:00,,,52.486487,-2.123819,,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Nothing found - no further action,,False
Person search,2017-09-10T14:55:00+00:00,,,52.486405,-2.132522,,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,False
Person search,2017-09-10T15:03:00+00:00,,,52.586187,-2.121680,,25-34,Asian/Asian British - Indian,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2017-09-10T15:07:00+00:00,,,52.472479,-2.029120,,,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2017-09-10T17:06:00+00:00,,,52.481861,-1.888932,,,Black/African/Caribbean/Black British - Caribbean,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2017-09-10T17:08:00+00:00,,,52.480213,-1.885741,,25-34,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2017-09-10T17:09:00+00:00,,,52.493224,-1.739659,,,Other ethnic group - Not stated,,Firearms Act 1968 (section 47),Firearms,Suspect arrested,True,False
Person search,2017-09-10T17:50:00+00:00,,,52.474267,-1.942981,,25-34,Asian/Asian British - Indian,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2017-09-10T19:49:00+00:00,,,52.480049,-1.893280,,,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Suspect arrested,True,False
Person search,2017-09-10T21:07:00+00:00,,,52.580898,-2.053100,,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Nothing found - no further action,,
Person search,2017-09-10T21:11:00+00:00,,,52.580898,-2.053100,,18-24,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Suspect arrested,True,
Person search,2017-09-10T21:30:00+00:00,,,52.512276,-1.926577,,,Mixed/Multiple ethnic groups - White and Black Caribbean,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2017-09-10T21:33:00+00:00,,,52.512276,-1.926577,,25-34,Asian/Asian British - Bangladeshi,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2017-09-10T21:40:00+00:00,,,52.452023,-1.735679,,,White - English/Welsh/Scottish/Northern Irish/British,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Nothing found - no further action,,False
Person search,2017-09-10T23:15:00+00:00,,,52.572654,-1.819251,,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Suspect arrested,True,False
Person search,2017-09-11T00:23:00+00:00,,,52.546872,-1.859143,,over 34,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Suspect arrested,True,False
Person search,2017-09-11T03:00:00+00:00,,,52.579434,-1.820300,,10-17,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Suspect arrested,True,False
Person search,2017-09-11T03:00:00+00:00,,,52.579434,-1.820300,,10-17,White - English/Welsh/Scottish/Northern Irish/British,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Suspect arrested,True,False
